            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2455735.500000000, A.D. 2011-Jun-23 00:00:00.0000,  3.173891586025865E+00, -1.861908583535253E+01, -7.384414007124406E+00,  3.331081297067965E-03, -7.825172734770585E-03, -3.036426003233580E-03,
2455765.500000000, A.D. 2011-Jul-23 00:00:00.0000,  3.273773403802696E+00, -1.885354603420332E+01, -7.475389805804207E+00,  3.327710951385943E-03, -7.805592978646567E-03, -3.028661609860313E-03,
2455795.500000000, A.D. 2011-Aug-22 00:00:00.0000,  3.373554512169186E+00, -1.908742645804915E+01, -7.566135724021692E+00,  3.324367514792534E-03, -7.786517656964031E-03, -3.021099261343425E-03,
2455825.500000000, A.D. 2011-Sep-21 00:00:00.0000,  3.473235734178113E+00, -1.932074193841607E+01, -7.656657701311738E+00,  3.321052021780296E-03, -7.767926849830233E-03, -3.013730909797415E-03,
2455855.500000000, A.D. 2011-Oct-21 00:00:00.0000,  3.572817921854953E+00, -1.955350672517513E+01, -7.746961442240654E+00,  3.317765361979706E-03, -7.749801689173784E-03, -3.006548934744834E-03,
2455885.500000000, A.D. 2011-Nov-20 00:00:00.0000,  3.672301951745875E+00, -1.978573451709629E+01, -7.837052428842216E+00,  3.314508275769086E-03, -7.732124293144257E-03, -2.999546117103648E-03,
2455915.500000000, A.D. 2011-Dec-20 00:00:00.0000,  3.771688719471875E+00, -2.001743849063130E+01, -7.926935932323318E+00,  3.311281319257730E-03, -7.714877708987463E-03, -2.992715615466332E-03,
2455945.500000000, A.D. 2012-Jan-19 00:00:00.0000,  3.870979138078182E+00, -2.024863132638050E+01, -8.016617023839018E+00,  3.308085075110369E-03, -7.698045826618302E-03, -2.986050931836038E-03,
2455975.500000000, A.D. 2012-Feb-18 00:00:00.0000,  3.970174134347489E+00, -2.047932523422280E+01, -8.106100584767086E+00,  3.304919882884200E-03, -7.681613365603158E-03, -2.979545909369779E-03,
2456005.500000000, A.D. 2012-Mar-19 00:00:00.0000,  4.069274645481681E+00, -2.070953197680376E+01, -8.195391316234817E+00,  3.301786122204668E-03, -7.665565778508097E-03, -2.973194681134119E-03,
2456035.500000000, A.D. 2012-Apr-18 00:00:00.0000,  4.168281618522847E+00, -2.093926289115981E+01, -8.284493747761180E+00,  3.298684043458331E-03, -7.649889236304361E-03, -2.966991674538088E-03,
2456065.500000000, A.D. 2012-May-18 00:00:00.0000,  4.267196679817384E+00, -2.116852974811762E+01, -8.373411470927694E+00,  3.295617205012458E-03, -7.634571243745459E-03, -2.960933321565746E-03,
2456095.500000000, A.D. 2012-Jun-17 00:00:00.0000,  4.366019114849949E+00, -2.139734088968889E+01, -8.462150173335134E+00,  3.292548356424532E-03, -7.619567157655111E-03, -2.955006199364365E-03,
2456125.500000000, A.D. 2012-Jul-17 00:00:00.0000,  4.464750597306246E+00, -2.162570741165563E+01, -8.550713280000998E+00,  3.289553120263381E-03, -7.604923570058776E-03, -2.949220716151818E-03,
2456155.500000000, A.D. 2012-Aug-16 00:00:00.0000,  4.563392497604072E+00, -2.185363956155478E+01, -8.639104676902759E+00,  3.286578895194912E-03, -7.590605838311834E-03, -2.943560121117666E-03,
